smiles,alert_type,smarts,match_atom_indices
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,nitro group,[N+](=O)[O-],"34,35,36"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]","34,36"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,Dye 16 (1),c([N+](=O)[O-]),"33,34,35,36"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,Dye 22,NS(=O)(=O)c1cccc([#7])c1,"17,18,19,20,21,22,23,24,33,34,37"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","15,17,18,21"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,aromatic NO2,O~N(=O)-c(:*):*,"36,34,35,33,24,37"
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,carbamate include di-substitued N,OC(=O)-!@[NX3],"2,3,4,5"
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,Ketone,[#6]-C(=O)-[#6],"1,7,8,9"
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"4,5,6,7"
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","9,10,11,12"
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,ene_one_hal(17),"[#6]-[#6]=[#6](-[F,Cl,Br,I])-[#6](=[#8])-[#6]","1,8,6,7,4,5,3; 9,8,6,7,4,5,3"
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,Ketone,[#6]-C(=O)-[#6],"3,4,5,6"
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,vinyl michael acceptor1,"[#6]-[CH1]=C-C(=O)[#6,#7,#8]","1,2,3,4,5,6"
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,Filter44_michael_acceptor2,"[#6,#1,OH0][C!$(C1(=O)C=CC(=O)C=C1)](=O)C=[C!$(C[Nv3X3,OH])]","3,4,5,6,8; 6,4,5,3,2"
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,Filter64_halo_ketone_sulfone,"[#6][C,S](=[O,S])C[F,Cl,Br,I]","3,4,5,6,7"
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,alpha halo carbonyl,"O=C-C-[F,Cl,Br,I]","5,4,6,7"
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,alpha beta-unsaturated ketones; center of Michael reactivity,"[$(C#N),$(N(~O)~O),$(C=O),$(S(=O)=O),$(C(F)(F)F),Cl][C!H0]=[C!H0]","4,3,2"
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,Dye 25,acC=&!@Cca,"14,15,16,17,18,19; 14,15,16,17,18,23; 19,18,17,16,15,24; 23,18,17,16,15,24"
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","10,11,12,15"
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"2,3,4,5"
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,iodine,I,21
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]","2,3"
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,Nitrosone_not_nitro,[$(N(~!@[#6])!@O);!$([N+]([O-])=O)],2
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,unacceptable atoms,[!#6;!#7;!#8;!#16;!#1;!#3;!#9;!#11;!#12;!#15;!#17;!#19;!#20;!#30;!#35],21
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","1,2,3,4"
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,Filter9_metal,"[!#1!#6!#7!#8!#9!#15!#16!#17]~[*,#1]","21,20"
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,acyclic NO not nitro,O-!@[N;!$(N(=O)=O);!$([N+](=O)[O-])],"3,2"
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,aryl iodide,I-c:*,"21,20,19; 21,20,22"
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,phenylethene,c1ccccc1!@[CH]=!@[C!H0],"25,24,23,22,40,26,27,28"
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","10,11,12,13,14,15,16; 11,12,13,14,15,16,17; 12,13,14,15,16,17,19"
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,Dye 25,acC=&!@Cca,"25,26,27,28,29,30; 25,26,27,28,29,39; 30,29,28,27,26,40; 39,29,28,27,26,40"
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,Ketone,[#6]-C(=O)-[#6],"10,11,12,13"
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,Filter9_metal,"[!#1!#6!#7!#8!#9!#15!#16!#17]~[*,#1]","16,15; 20,19"
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,aryl bromide,Br-c:*,"16,15,14; 16,15,17; 20,19,17; 20,19,21"
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,aniline,[NH2D1]-c(:*):*,"10,9,8,11; 13,12,11,6"
O=P1(NCCCl)OCCCN1CCCl,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]","5,4; 13,12"
O=P1(NCCCl)OCCCN1CCCl,alkyl halide,"[CX4][Cl,Br,I]","4,5; 12,13"
O=P1(NCCCl)OCCCN1CCCl,phosphor,P,1
O=P1(NCCCl)OCCCN1CCCl,phosphorous_nitrogen_bond,"[#15]~[N,n]","1,2; 1,10"
O=P1(NCCCl)OCCCN1CCCl,primary_halide_sulfate,"[CH2][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]","4,5; 12,13"
O=P1(NCCCl)OCCCN1CCCl,alkyl_halides,"[Br,Cl,I][CX4;CH,CH2]","5,4; 13,12"
O=P1(NCCCl)OCCCN1CCCl,alkyl halide,"[Br,Cl,I][CX4,CH,CH2,CH3]","5,4; 13,12"
O=P1(NCCCl)OCCCN1CCCl,Filter1_2_halo_ether,"[Cl,Br,I][CX4][CX4][$([O,S,N]*),Cl,Br,I]","5,4,3,2; 13,12,11,10"
O=P1(NCCCl)OCCCN1CCCl,Filter26_alkyl_halide,"AA[CH2][F,Cl,Br,I,$(OS(=O)(=O)*)]","2,3,4,5; 10,11,12,13"
O=P1(NCCCl)OCCCN1CCCl,Filter84_nitrogen_mustard,"[N,P,Se,S][C!H0]C[Br,Cl,I]","2,3,4,5; 10,11,12,13"
O=P1(NCCCl)OCCCN1CCCl,alkyl esters of S or P,"[S,P](=O)OC","1,0,6,7"
O=P1(NCCCl)OCCCN1CCCl,ugly P compounds,"P(=[O,S])[C,N]([C,N])[C,N]","1,0,10,9,11"
O=P1(NCCCl)OCCCN1CCCl,mustards,"[N,S,O][CH2][CH2]-[F,Cl,Br,I]","2,3,4,5; 10,11,12,13"
O=P1(NCCCl)OCCCN1CCCl,alkyl halide,"[CH2]-[Cl,Br,I]","4,5; 12,13"
CC(=O)Nc1ccc(O)cc1,hydroquinone,"[OH]c1ccc([OH,NH2,NH])cc1","8,7,6,5,4,3,10,9"
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,aniline,[NH2D1]-c(:*):*,"0,1,2,15; 14,13,4,15"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)","8,9,3,14,15"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]","0,1"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,Ethene,C=[CH2],"1,0"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,terminal vinyl,[CH2D1]=[CD2]-!@*,"0,1,2"
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,Sulfonate_Ester,O=[SX4](=O)OC,"12,10,13,9,8"
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","11,10,9,8"
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,Filter26_alkyl_halide,"AA[CH2][F,Cl,Br,I,$(OS(=O)(=O)*)]","6,7,8,9; 14,7,8,9; 19,7,8,9"
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,alkyl esters of S or P,"[S,P](=O)OC","10,12,9,8; 10,13,9,8"
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,S/PO3 groups,"[P,S](~O)(~O)~O","10,9,12,13"
CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"6,7,8,9"
CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]","9,10; 19,20"
CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,Ester,[#6]-C(=O)O-[#6],"6,4,5,3,1"
CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","0,1,3,4,6,7,8; 1,3,4,6,7,8,9; 2,1,3,4,6,7,8"
CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,Unbranched chain,"[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]","6,7,8,9,10,11"
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","0,1,3,4,5,7,8; 2,1,3,4,5,7,8"
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,Ketone,[#6]-C(=O)-[#6],"2,1,0,17"
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,aniline,[NH2D1]-c(:*):*,"22,21,20,23"
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,Ketone,[#6]-C(=O)-[#6],"10,14,15,13"
CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]","7,8,9,15"
CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,quat_N_N,"[N,n;R;+]!@[N,n]","8,9"
Nc1ccncc1N,aniline,[NH2D1]-c(:*):*,"0,1,2,6; 7,6,5,1"
Cn1cc(S(C)=O)c(=O)c2ccc(F)cc21,Filter82_pyridinium,"[c,n]1[c,n][c,n][c,n][c,n]n(C)1","2,3,7,9,15,1,0"
Cn1cc(S(C)=O)c(=O)c2ccc(F)cc21,thionyl,[Sv4](=O)(-!@[!#1])-!@[!#1],"4,6,3,5"
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Filter82_pyridinium,"[c,n]1[c,n][c,n][c,n][c,n]n(C)1","4,3,22,21,9,5,6"
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Filter82_pyridinium,"[c,n]1[c,n][c,n][c,n][c,n]n(C)1","2,4,5,10,12,1,0; 5,4,2,1,12,10,11"
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"1,2,3,4; 2,3,4,5"
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","0,1,2,3,4,5,6"
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Unbranched chain,"[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]","0,1,2,3,4,5"
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,catechol,"c1c([OH])c([OH,NH2,NH])ccc1","14,15,16,17,18,19,12,13"
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,catechol_A(92),c:1:c:c(:c(:c:c:1)-[#8;H1])-[#8;H1],"12,19,17,15,14,13,16,18"
CCN(CC)CCOC(=O)c1ccc(N)cc1,aniline,c1cc([NH2])ccc1,"11,12,13,14,15,16,10"
CCN(CC)CCOC(=O)c1ccc(N)cc1,analine,"c1ccccc1[NH2,NH3+]","12,11,10,16,15,13,14"
CCN(CC)CCOC(=O)c1ccc(N)cc1,Ester,[#6]-C(=O)O-[#6],"10,8,9,7,6"
CCN(CC)CCOC(=O)c1ccc(N)cc1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","0,1,2,5,6,7,8; 4,3,2,5,6,7,8"
CCN(CC)CCOC(=O)c1ccc(N)cc1,aniline,[NH2D1]-c(:*):*,"14,13,12,15"
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"1,2,3,4; 11,12,13,14; 12,13,14,15; 13,14,15,16; 14,15,16,17; 15,16,17,18; 16,17,18,19; 17,18,19,20; 18,19,20,21; 19,20,21,22; 20,21,22,23; 21,22,23,24; 22,23,24,25; 23,24,25,26; 24,25,26,27; 25,26,27,28; 26,27,28,29; 27,28,29,30; 28,29,30,31; 29,30,31,32; 30,31,32,33; 31,32,33,34; 32,33,34,35; 33,34,35,36; 34,35,36,37; 35,36,37,38"
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,Ester,[#6]-C(=O)O-[#6],"8,9,10,11,12"
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","9,11,12,13,14,15,16; 11,12,13,14,15,16,17; 12,13,14,15,16,17,18; 13,14,15,16,17,18,19; 14,15,16,17,18,19,20; 15,16,17,18,19,20,21; 16,17,18,19,20,21,22; 17,18,19,20,21,22,23; 18,19,20,21,22,23,24; 19,20,21,22,23,24,25; 20,21,22,23,24,25,26; 21,22,23,24,25,26,27; 22,23,24,25,26,27,28; 23,24,25,26,27,28,29; 24,25,26,27,28,29,30; 25,26,27,28,29,30,31; 26,27,28,29,30,31,32; 27,28,29,30,31,32,33; 28,29,30,31,32,33,34; 29,30,31,32,33,34,35; 30,31,32,33,34,35,36; 31,32,33,34,35,36,37; 32,33,34,35,36,37,38; 33,34,35,36,37,38,39"
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,Unbranched chain,"[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]","11,12,13,14,15,16; 12,13,14,15,16,17; 13,14,15,16,17,18; 14,15,16,17,18,19; 15,16,17,18,19,20; 16,17,18,19,20,21; 17,18,19,20,21,22; 18,19,20,21,22,23; 19,20,21,22,23,24; 20,21,22,23,24,25; 21,22,23,24,25,26; 22,23,24,25,26,27; 23,24,25,26,27,28; 24,25,26,27,28,29; 25,26,27,28,29,30; 26,27,28,29,30,31; 27,28,29,30,31,32; 28,29,30,31,32,33; 29,30,31,32,33,34; 30,31,32,33,34,35; 31,32,33,34,35,36; 32,33,34,35,36,37; 33,34,35,36,37,38; 34,35,36,37,38,39"
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,poly ethers,O[CH2][CH2]O-!@[CH2][CH2]O,"11,12,13,14,15,16,17; 14,15,16,17,18,19,20; 17,18,19,20,21,22,23; 20,21,22,23,24,25,26; 23,24,25,26,27,28,29; 26,27,28,29,30,31,32; 29,30,31,32,33,34,35; 32,33,34,35,36,37,38"
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"7,8,9,10"
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,imine,C=[N!R],"1,3; 11,13"
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,imine,"N=[CR0][N,n,O,S]","3,1,0; 3,1,2; 13,11,12"
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,Filter39_imine,C[CR0]=[NR0][*!O],"10,11,13,14"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,imine,C=[N!R],"15,16"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,oxime,"[C,c]=N[OH]","15,16,17"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]","16,17"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,triple bond,C#C,"0,1"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,oxime,[$(C=N[O;D1]);!$(C=[N+])][#6][#6],"15,18,19"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,Oxime,"[#6]C(=!@N[$(OC),$([OH])])[#6]","14,15,16,17,18"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,Nitrosone_not_nitro,[$(N(~!@[#6])!@O);!$([N+]([O-])=O)],16
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,triple_bond,[#6]C#[CH],"2,1,0"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,Ester,[#6]-C(=O)O-[#6],"5,4,6,3,2"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,acyclic NO not nitro,O-!@[N;!$(N(=O)=O);!$([N+](=O)[O-])],"17,16"
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,aldehyde,[CH1](=O),"20,21"
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,catechol,"c1c([OH])c([OH,NH2,NH])ccc1","15,16,17,18,19,22,13,14"
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,formate_formide,"O=[CH][O,N][#6]","21,20,19,18"
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,Filter38_aldehyde,O=[CH]*,"21,20,19"
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,aldehyde,O=[C!H0],"21,20"
