lead_id,lead_smiles,penalized_logp
PL_031,Cc1ccc2c(c1)c1c3n2CCN(C(=O)C2CC2)[C@@H]3CCC1,-16.2984
PL_032,CC(=O)Oc1ccc2c3c(ccc(C(C)=O)c13)CC2,-16.0825
PL_033,COCC[C@H](C)C(=O)Nc1ccc2c3c(cccc13)CC2,-16.0657
PL_034,CCOC(=O)N1CCC(Nc2nc(-c3cc4c5c(c3)CC(=O)N5CCC4)cs2)CC1,-16.0596
PL_035,Cc1cc(N2CCCCC2)nc(N2CCN(S(=O)(=O)c3ccc4cccc5c4c3CC5)CC2)n1,-16.0332
PL_036,COc1ccccc1C(=O)Oc1cc2c3c(c1)C(C)=CC(C)(C)N3C(=O)C2=O,-15.9619
PL_037,Cc1ccc(C(=O)Nc2cc3c4c(c2)[C@H](C)C(=O)N4CCC3)cc1C,-15.8811
PL_038,CN(CC1CCCC1)C(=O)C(=O)Nc1ccc2c3c(cccc13)CC2,-15.813
PL_039,CCOC(=O)c1sc(N)c(C#N)c1COC(=O)c1ccc2c3c(cccc13)CC2,-15.7626
PL_040,COc1ccc(OC)c(NC(=O)[C@H](C)OC(=O)c2ccc3c4c(cccc24)CC3)c1,-15.6155
PL_041,CCOc1ccc(CNC(=O)c2cc3c(Cl)ccc4c3n2C[C@H](CC)O4)cc1,-15.5346
PL_042,Cc1ccc(S(=O)(=O)N2C/C=C\CN(S(=O)(=O)c3ccc(C)cc3)C/C=C\C2)cc1,-13.1973
PL_043,C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)NC(C)(C)CC(=O)[O-])CC2,-13.083
PL_044,C[NH+]1[C@H]2CCC[C@@H]1CC(NC(=O)[C@@H]1CCCC[NH+]1Cc1cccnc1)C2,-12.7205
PL_045,C[NH+]1[C@H]2CC[C@@H]1CCN(C(=O)C(C)(C)/C(N)=N/O)C2,-12.4929
PL_046,C[NH+]1[C@H]2CC[C@@H]1CN(c1nc3c(s1)[C@H]([NH3+])CCC3)CC2,-12.4091
PL_047,CCOc1ccc(NC(=S)N/N=C2\C3CN4CCN(C3)CC2(CC)C4)cc1,-12.3614
PL_048,C[C@H]([NH+]1CC[NH2+]CC1)C12CC3CC(CC(C3)C1)C2,-12.2978
PL_049,C[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3C1CCCC1)C2,-11.8543
PL_050,CC[C@@H]1CC[NH+](C2C(C)(C)C2(C)C)CCC[NH2+]1,-11.7029
PL_051,C[NH+]1[C@H]2CC[C@@H]1CN([C@H](C[NH3+])CCc1ccccc1)CC2,-11.6584
PL_052,O=C(Nc1cccc(Cn2cccnc2=O)c1)N1CC2C[C@H]3CC1C[C@@H](C2)C3,-11.6395
PL_053,C[NH+]1[C@H]2CC[C@@H]1CN(S(=O)(=O)CCC1CC1)CC2,-11.5562
PL_054,C[NH+](CC(=O)N1CCCCCCC1)CC1CC[NH2+]CC1,-11.041
PL_055,CCOC(=O)[C@H]1[NH+]=c2ccccc2=C1NC(=O)C12CC3CC(CC(C3)C1)C2,-11.0322
PL_056,C[NH2+][C@@]1(C(=O)[O-])CC[C@H](N2CCC[NH+]3CCC[C@@H]3C2)C1,-11.0195
PL_057,C[NH2+][C@]1(C(=O)[O-])CC[C@H](N2CCC[NH+]3CCC[C@@H]3C2)C1,-11.0195
PL_058,O=C([O-])CC12CC3CC(C1)CC(CC(=O)[O-])(C3)C2,-10.8067
PL_059,C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)N[C@@H]1CCN(c3ccccc3F)C1=O)CC2,-10.7556
PL_060,C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)NCC1(C)CCCC1)CC2,-10.659
PL_061,C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)CCc1nc(-c3cccnc3)no1)CC2,-10.5641
PL_062,Cc1nn(C)c(C)c1[C@H](C(=O)[O-])[NH+]1CCCCCCC1,-10.5134
PL_063,COC(=O)[C@H]1C[C@@H]2C[C@@H](C[C@@H](C(=O)OC)C23SCCS3)C1=O,-10.4633
PL_064,O=c1cccc2n1C[C@@H]1C[C@H]2C[NH+](Cc2ccccc2O)C1,-10.4347
PL_065,C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)Nc1cc(C(C)(C)C)on1)CC2,-10.3827
PL_066,C[NH+]1[C@H]2CC[C@@H]1CN(S(=O)(=O)c1cc(Cl)sc1Cl)CC2,-10.3637
PL_067,O=C(CC12C[C@@H]3C[C@@H](CC(Br)(C3)C1)C2)OCC[NH+]1CCCCC1,-10.3005
PL_068,C[NH+]1[C@H]2CCC[C@@H]1CC(NC(=O)c1ccccc1CSc1ncn[nH]1)C2,-10.117
PL_069,C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)NCCc1cccc(F)c1)CC2,-10.1086
PL_070,O[C@@H](CN1CCOCC1)C[NH+]1CCCCCCC1,-10.0898
PL_071,Cc1cc(C)nc(N/C(=[NH+]\C(=O)NC23CC4CC(CC(C4)C2)C3)N2CCN(c3cccc[nH+]3)CC2)n1,-10.0541
PL_072,O=C(CCCn1nnc(-c2ccc(F)cc2)n1)N1[C@H]2CC[C@@H]1CC[NH2+]C2,-10.051
PL_073,C[C@H]1CN(C(=O)CC23CC4CC(CC(C4)C2)C3)C[C@H](C)[NH2+]1,-10.0384
PL_074,C[NH+]1[C@H]2CCC[C@@H]1CC(NC(=O)/C=C/c1cccc(F)c1)C2,-10.0031
PL_075,O=C(NC1CC[NH2+]CC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-],-9.9649
PL_076,C[NH+]1[C@H]2CCC[C@@H]1CC(NC(=O)/C=C/c1ccc(C(=O)NC3CC3)cc1)C2,-9.9096
PL_077,CC[C@H](NC(=O)N1CC[C@H]2CC[C@@H](C1)[NH+]2C)C(=O)[O-],-9.8978
PL_078,O=C([C@H]1Cc2[nH+]c[nH]c2CN1)N1CCC[NH+]2CCC[C@@H]2C1,-9.8965
PL_079,C[C@]1(C23CC4CC(CC(C4)C2)C3)CCC[NH2+]1,-9.8758
PL_080,CC1=N[C@H](C(=O)N2CCC3=NN=C(C45CC6CC(CC(C6)C4)C5)[C@@H]3C2)N=C1,-9.8713
PL_081,CC(C)[C@@H](CO)[NH2+][C@@H]1CCC[NH+](C)CC1,-9.8702
PL_082,CC(C)(C)OC(=O)N1[C@H]2CC[C@@H]1CC[NH+](Cc1ccncc1)C2,-9.8516
PL_083,CN(C(=O)C1CC1)[C@@H]1[C@H]2[C@@H]3CC[NH+]2C[C@H]1O3,-9.8148
PL_084,C[C@H]1CN(C(=O)NC23CC4CC(CC(C4)C2)C3)CC[C@@H]1[NH3+],-9.7764
PL_085,C[NH+]1[C@H]2CC[C@@H]1CN(Cn1c(=S)n(C(F)F)c3ccccc31)CC2,-9.7355
PL_086,CCC[C@H]([NH3+])C12CC3C[C@](C)(C1)C[C@@](C)(C3)C2,-9.7228
PL_087,C=C[C@@H]1OC[C@@]2(CO)[C@@H](C)[C@@H]1C(C)=C[C@H]2C,-9.7118
PL_088,CC1(C)C[C@](CCC#N)(C2N3CC4(C)CN2CC(C)(C3)C4O)CCO1,-9.7117
PL_089,C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)c1ccc(-c3ccccc3)[nH]1)CC2,-9.711
PL_090,C[NH+]1[C@H]2CC[C@@H]1CN(CCOc1cccc(Br)c1)CC2,-9.6935
PL_091,C[NH2+][C@@H]1CC[C@@H](N2CCC[NH+](C)CC2)C1,-9.6881
PL_092,O=C1NCCCC[C@@H]1[NH+]1C[C@H](O)[C@H](O)C1,-9.6798
PL_093,CC(=O)[C@@H]1[C@H]2c3ccccc3O[C@]1(C)N=c1s/c(=C/c3cnn(C)c3)c(=O)n12,-9.6719
PL_094,O=c1cccc2n1C[C@@H]1C[C@H]2CN(c2nc(N3CCOCC3)nc(N3CCOCC3)n2)C1,-9.6714
PL_095,C[NH+]1[C@H]2CCC[C@@H]1CC(NC(=O)c1ccc(CNC(=O)C(C)(C)C)cc1)C2,-9.6038
PL_096,CCC(C)(C)[C@@H]1CC[C@H](C[NH3+])[C@H]([NH+]2CCCCCCC2)C1,-9.5434
PL_097,O=C(C[NH+]1C[C@@H]2C[C@H](C1)c1cccc(=O)n1C2)Nc1ccc(Cl)c(Cl)c1,-9.5295
PL_098,CCN[C@]1(C(=O)OCC)CC[C@H]([NH+]2CCCCCCC2)C1,-9.4916
PL_099,Cc1ccc(C[NH+]2C[C@H]3C(=O)Nc4ccccc4C(=O)N[C@@]3(C)C2)s1,-9.4801
PL_100,[NH3+][C@@H]([C@H]1CCOC2(CCC2)C1)C12CC3CC(CC(C3)C1)C2,-9.4782
