Compound No.,PubChem ID,ChEMBL ID,smiles
21,686152,"CHEMBL1393131, CHEMBL1576064",C1=COC(=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)O
22,704725,CHEMBL1334484,C1=COC(=C1)C2=C(OC3=NC=NC(=C23)N)C4=CC=CO4
23,2998271,CHEMBL1458840,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(C2=CN=CC=C2)N3CCN(CC3)CCO
24,5310645,CHEMBL1523317,CC1=CC2=C(C=CC=C2N=N1)N
25,5599490,CHEMBL1501987,CCCCN1C(=O)C2=NC3=C(C=C(C=C3)N)N=C2NC1=O
26,6404647,CHEMBL533226,C1CCC(CC1)NC2=C(N=NC(=N2)C3=CC=CC=N3)C4=CC=CC=C4
27,1789058,CHEMBL1303641,COCCCNC1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)NC1=O
28,1262928,,CN1C2=CC=CC3=C2C(=C(C1=O)NCCC4=CC=CC=C4)C5=CC=CC=C5C3=O
29,53277,CHEMBL162783,CC1C(OC2=C(C1=O)C(=C3C(=C2)C(=C(C=C3O)O)C4=C(C=C(C5=C(C6=C(C=C54)OC(C(C6=O)C)C)O)O)O)O)C
30,2248499,,C1CC(=CNC2=CC3=C(C=C2)OCO3)C(=O)C4=CC=CC=C41
31,3213,"CHEMBL123, CHEMBL3290609",CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C
32,6603104,"CHEMBL468403, CHEMBL3216654",CC(CCCNC1=C2C(=CC(=C1)OC)C=CC=N2)N.Cl
33,6104167,CHEMBL1424694,C1=CC(=CC(=C1)N2C=CC=C2C=C3C(=O)N(C(=O)N3)C4=CC=C(C=C4)Cl)C(=O)O
34,332219,CHEMBL2000670,C1=CC=C(C=C1)COC2=CC=C(C=C2)C=NC3=CC=C(C=C3)O
35,67277,CHEMBL65374,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=CC(=CC=C3)[N+](=O)[O-])O
36,15944990,CHEMBL1587031,C1=CC=C2C(=C1)C(C=N2)CCNCC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O
37,330973,CHEMBL1566610,CC1CC2C(C(C3(C1C=CC3=O)C)OC(=O)CC(=O)OC4C5C(CC(C6C4(C(=O)C=C6)C)C)OC(=O)C5=C)C(=C)C(=O)O2
38,200953,CHEMBL1531308,C1=CC=C(C=C1)C#CC(=O)C2=CC=CO2
39,72571,CHEMBL1340633,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)NC3=CC=CC=C3C(=O)O)OC)NC4=CC=CC=C4C(=O)O
40,12005127,CHEMBL1521989,CC(=CC1=CC(=C(C=C1)OCC2=CC=CC=C2Cl)OC)[N+](=O)[O-]
41,5371064,CHEMBL455284,CC(=NNC(=S)NCC=C)C1=CC=CC=N1
42,647878,CHEMBL1454183,C=CS(=O)(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)S(=O)(=O)C=C
43,597363,CHEMBL1440703,CC(=O)NC1=C(C2=NON=C2C(=C1)OC(=O)C)OC(=O)C
44,1207945,CHEMBL1485442,CC(=O)OC1=CC=CC2=CC(=C(C(=C2C1=O)OC(=O)C)OC(=O)C)OC(=O)C
45,5715188,CHEMBL1459140,CC(C)(C)C(=O)C(=CC1=CC(=CC=C1)[N+](=O)[O-])N2C=NC=N2
46,5759185,CHEMBL1465592,CC(C)(C)C(=O)C(=CC1=CC(=CC=C1)[N+](=O)[O-])N2C=NC=N2
47,2766929,CHEMBL1572001,CC(C)(C)C1=CC=C(C=C1)N2C(=O)C=C(C(=N2)C#N)Cl
48,1072934,CHEMBL1535503,CC(C)N(C(C)C)C(=O)NC1=CC2=NSN=C2C=C1
49,6393553,CHEMBL1542492,CC(C1=CC=CC=C1)NC(=O)C(=CC2=CC=C(O2)[N+](=O)[O-])C#N
50,991372,CHEMBL1604546,CC1(CC2=C(C(C3=C(O2)CC(CC3=O)(C)C)C4=C(C=C(C=C4)O)O)C(=O)C1)C
51,11957207,"CHEMBL1340713, CHEMBL1626334",CC1(C2=C(C=CC(=C2)C(=O)OC)[N+](=C1C=CC3=CC=C(C=C3)O)C)C.[I-]
52,11957214,"CHEMBL1503962, CHEMBL1622468",CC1(C2=C(C=CC(=C2)C(=O)OC)[N+](=C1C=CC3=CC=CC=C3O)C)C.[I-]
53,16681765,"CHEMBL1197632, CHEMBL578944",CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC(=C2C)C)C(C)(C)CC.[Br-]
54,4101144,CHEMBL1376622,CCC(C)N1C(=C(C2=NC3=CC=CC=C3N=C21)C#N)NC(=O)C4=CC=CC=C4
55,31280,"CHEMBL1375045, CHEMBL1550879, CHEMBL2106839",CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
56,15945189,"CHEMBL1438881, CHEMBL1620650",CCCCCCCCCCCCCCCC[N+]1=CC=CC2=CC=CC=C21.[I-]
57,2846928,"CHEMBL595912, CHEMBL1198106, CHEMBL1448592, CHEMBL3134305, CHEMBL3134307, CHEMBL3188094",CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-]
58,24746791,"CHEMBL1328510, CHEMBL1617738",CCCCCCCCCCOC(=O)CN1C2=CC=CC=C2[N+](=C1COC3=CC=C(C=C3)OC)C.[Cl-]
59,5286934,CHEMBL1563483,CCCCS(=O)(=O)C=CC=CS(=O)(=O)CCCC
60,658797,CHEMBL1575869,CCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C#N)NC(=O)C4=CC=CC=C4Cl
61,4296505,CHEMBL1458548,CCCNC(=O)C1=C(SN=N1)S(=O)(=O)C2=CC=C(C=C2)Cl
62,3497737,CHEMBL1555752,CCN(CC)C(=O)C1=CC2=C(C=C1)NC(C3C2C(C(C3)SC4=CC=CC=C4[N+](=O)[O-])Cl)C(=O)O
63,4871598,CHEMBL1502002,CCOC(=O)C1CCCN(C1)C2=CC=C(C3=NON=C23)[N+](=O)[O-]
64,5286552,CHEMBL1361821,CCOC(=O)COC1=CC=CC=C1C=C[N+](=O)[O-]
65,1151859,CHEMBL1449204,CCOC(=O)CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
66,5833488,"CHEMBL583809, CHEMBL2094579",CCOC(=O)NN=C1C2=CC=CC=C2C3=NC4=NON=C4N=C31
67,2320547,CHEMBL1535546,CC1(C2=CC=CC=C2N(C1=CC(=O)C3=NC(=NC=C3Cl)S(=O)(=O)C)C)C
68,16193233,"CHEMBL1572785, CHEMBL1624721",[B-](F)(F)(F)F.CC1(C2=CC=CC=C2N(C1=CC=CC=CC=[N+](C)C)C)C
69,24789739,"CHEMBL1315948, CHEMBL1617450",CCC1=CC=C(C=C1)NC2=N[N+](=C(S2)C3=C(C=CC=C3Cl)Cl)C4=CC=CC=C4.[Cl-]
70,9660957,CHEMBL1999049,CCN1C(=C(SC1=NS(=O)(=O)C2=CC=CC=C2)C=O)Cl
71,54682932,CHEMBL1594055,CN(C)C1C2C(C3C(=C)C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.C1=CC(=C(C=C1S(=O)(=O)O)C(=O)O)O
72,5801934,CHEMBL1587502,CN(CCC#N)C(=O)COC(=O)C1=C2CCC(=CC3=CC=CO3)C2=NC4=CC=CC=C41
73,42640,CHEMBL1608727,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]
74,1487013,CHEMBL1586425,CNC(=O)C1=C(SN=N1)S(=O)(=O)C2=CC=C(C=C2)Cl
75,15945829,"CHEMBL1359359, CHEMBL1618557",CNCC1=CC=CC=C1SC2=C(C=CC(=C2)O)O.C(=CC(=O)O)C(=O)O
76,3128197,CHEMBL1585390,CNC1=C(C2=NON=C2C(=C1)Cl)[N+](=O)[O-]
77,3609942,CHEMBL1540682,COC(=O)C1CN(N(C12C3=CC=CC=C3C4=CC=CC=C24)C5=CC=C(C=C5)Cl)C#N
78,2035866,CHEMBL1370681,COC(=O)CCS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
79,6552076,CHEMBL1301125,COC(=O)CC1(CN(N(C12C3=CC=CC=C3C4=CC=CC=C24)C5=CC=C(C=C5)Cl)C#N)C(=O)OC
80,3247230,CHEMBL1569585,COC(=O)C1(C2C(=C)C(=O)C=C2CN1C(=O)C3=CC=CC=C3)CC4=CC=C(C=C4)F
81,2974206,CHEMBL1598762,COC1=C(C=C2C(=C1)C=CN=C2C(=O)C3=CC(=C(C=C3Br)OC)OC)OC
82,3216694,CHEMBL1610049,COC1=CC(=C(C=C1)OC)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C#C
83,2801235,CHEMBL1439384,COC1=NC(=C(C=C1)[N+](=O)[O-])S(=O)(=O)C2=CC=C(C=C2)Cl
84,2801236,CHEMBL213580,COC1=NC(=C(C=C1)[N+](=O)[O-])S(=O)(=O)C2=CC=CC=C2
85,1475343,CHEMBL1432251,COC1=CC=C(C=C1)CS(=O)(=O)C(=C(C(=O)NC2=CN=C(C=C2)OC)Cl)Cl
86,487737,CHEMBL1328504,COC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])O
87,753169,CHEMBL1392911,COC1=CC=C(C=C1)NC(=S)NC2=CC3=NSN=C3C=C2
88,791069,CHEMBL1427637,COC1=CC=C(C=C1)NC2=CC3=NC4(CCCCC4)[N+](=C3C=C2)[O-]
89,3237441,CHEMBL1346587,COC1=C(C=C(C=C1)C2=NN(C(=C2)N)S(=O)(=O)C3=C(C(=C(C(=C3F)F)F)F)F)OC
90,1472218,CHEMBL1369655,COC1=NC=C(C=C1)NC(=O)C(=C(S(=O)(=O)CC2=CC=CC=C2)Cl)Cl
91,1472220,CHEMBL1494120,COC1=NC=C(C=C1)NC(=O)C(=C(S(=O)CC2=CC=C(C=C2)Cl)Cl)Cl
92,1472216,CHEMBL1574879,COC1=NC=C(C=C1)NC(=O)C(=C(S(=O)CC2=CC=CC=C2)Cl)Cl
93,1486955,CHEMBL1537615,COC1=CC=CC(=C1)N2C(=O)C=C(C(=N2)C#N)Cl
94,2221997,CHEMBL1367316,COC1=CC=CC(=C1)N2C(=NN=N2)S(=O)(=O)C
95,3236803,CHEMBL1492648,CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
96,37839,CHEMBL518292,CC1(CC2C=C(C3(CC3(C2C1)C)C=O)C=O)C
97,3746037,CHEMBL1456412,C[N+]1=C2C=CC=CC=C2SC13[C-](C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
98,759209,CHEMBL1442788,CC1=C(SN(C1=O)C2=CC=C(C=C2)Cl)Cl
99,4114494,CHEMBL3144856,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C[N+](=O)[O-])C3=CC=C(C=C3)OC
100,2905495,CHEMBL1303426,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=C(C4=NON=C4C(=C3)Cl)[N+](=O)[O-]
101,1124686,CHEMBL1321538,CC1=NN(C(=C1CN(C2=CC=C(C=C2)Cl)C(=O)CCl)Cl)C3=CC=CC=C3
102,5320418,CHEMBL172439,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3CO)O)C(=O)OC4O)C=O)O
103,220284,CHEMBL1527565,CC1=CC(=C(C=C1O)C2=C(C=C(C(=C2)O)C)O)O
104,9594976,"CHEMBL531656, CHEMBL1978733",CC1=CC(=C2C=C(C=CC2=N1)OC)NN=CC3=C(C=C(C=C3)OC)OC
105,16195593,CHEMBL1575701,CC1=CC2=C(C(=C1N)[N+](=O)[O-])N=C3C(=N2)C(=O)NC(=O)N3
106,1474465,CHEMBL1343392,CC1=CC=C(C=C1)C(=O)OCN2C(=O)C(=C(C=N2)Cl)Cl
107,1475337,CHEMBL1309232,CC1=CC=C(C=C1)CS(=O)(=O)C(=C(C(=O)NC2=CN=C(C=C2)OC)Cl)Cl
108,2330223,CHEMBL1529115,CC1=CC=C(C=C1)NC(=O)C2=C(S(=O)(=O)CCS2(=O)=O)C3=CC=CC=C3
109,1472329,CHEMBL1431608,CC1=CC=C(C=C1)S(=O)(=O)C2=NC=C(C=C2)[N+](=O)[O-]
110,849396,CHEMBL1458022,CC1=CC=C(C=C1)N2C(=C(N=C(C2=O)Cl)Cl)Cl
111,16446988,CHEMBL1375884,CC1=CC(=CC=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=CC=C(C=C3)F)Cl
112,16446369,CHEMBL1301371,CC1=CC(=CC=C1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3
113,850484,CHEMBL1384167,CC1=CC=CC=C1OC2=NC=NC(=C2)N3C(=O)C(=C(C=N3)Cl)Cl
114,972880,CHEMBL528694,CC1=C(N=CC=C1)NC2=NC(=CS2)C3=CC=CC=N3
115,906542,CHEMBL1463659,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=N3)C
116,701939,CHEMBL1499951,CN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])Cl
117,25237246,CHEMBL2000633,CN1C2=C(C=C(C=C2)C=NNC(=O)C3=C(C=CC(=C3)O)O)C4=CC=CC=C41
118,667215,CHEMBL1379048,C1CCN(C1)C2=C(C3=NON=C3C(=C2)Cl)N
119,3096032,CHEMBL1387843,C1=C(C(=CC2=NSN=C21)Br)N
120,11644907,CHEMBL414890,C1=CC(C=CC1=O)(C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
121,1486292,CHEMBL1427185,C1=CC(=O)N(C1=O)CCNC2=C(C=C(C=N2)C(F)(F)F)Cl
122,2997948,CHEMBL1583199,C1CCN(C1)C2=NC(=C3C(=C2)C(=C(N=C3N)N4CCCC4)C#N)N
123,16195270,"CHEMBL1547684, CHEMBL1624409",C1=CC(=C(C=C1N)C(=O)O)N.Cl
124,3128208,CHEMBL1611182,C1=CC(=CC(=C1)O)NC2=C(C3=NON=C3C(=C2)Cl)[N+](=O)[O-]
125,1474489,CHEMBL1485010,C1=CC(=CC=C1C(=O)OCN2C(=O)C(=C(C=N2)Br)Br)F
126,644274,"CHEMBL1208858, CHEMBL1229168",C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)N3C=C[N+](=C3)CC(C4=C(C=C(C=C4)Cl)Cl)OCC5=C(C=C(C=C5)Cl)Cl)Cl.[Cl-]
127,3802184,CHEMBL1402117,C1=CC(=CC=C1C2C3=C(NC(=S)NC3=O)OC4=C2C(=O)NC(=S)N4)Br
128,1486985,CHEMBL1327783,C1COCCN1C(=O)C2=C(SN=N2)S(=O)C3=CC=C(C=C3)Cl
129,24818137,CHEMBL1299566,C1=COC(=C1)C2=C(SC(=N2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])C4=CC=CO4
130,2554659,CHEMBL1582771,C1=COC(=C1)C2=NN=C(N=N2)C3=CC=CO3
131,573747,CHEMBL570345,C1=CSC(=C1)C(=O)C2=NO[N+](=C2C(=O)C3=CC=CS3)[O-]
132,5417965,CHEMBL1429070,C1=CC2=C(C=C1N)N=C3C(=N2)C(=O)NC(=S)N3
133,313619,CHEMBL505670,C1=CC=[N+](C(=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-])[O-]
134,1474487,CHEMBL1303810,C1=CC=C(C(=C1)C(=O)OCN2C(=O)C(=C(C=N2)Br)Br)Cl
135,1474461,CHEMBL1543839,C1=CC=C(C(=C1)C(=O)OCN2C(=O)C(=C(C=N2)Cl)Cl)Cl
136,3115076,CHEMBL1399331,C1C2C(C(C1SC3=CC=CC=C3[N+](=O)[O-])Cl)C4=C(C(=CC=C4)C(=O)O)NC2C(=O)O
137,1357397,CHEMBL1371869,C1=CC=C(C(=C1)C2=CC=C(O2)C=C3C(=O)N4C5=C(C=C(C=N5)Br)N=C4S3)C(=O)O
138,15944971,"CHEMBL1502014, CHEMBL1622391",C1=CC=C(C=C1)C(=O)C2=C3C4=CC=CC5=C4C(=CC=C5)C3=CC6=[N+]2C7=CC=CC=C7S6.[Br-]
139,1271299,CHEMBL1311185,C1CS(=O)(=O)C(=C(S1(=O)=O)C2=CC=CC=C2)C(=O)NC3=CC=CC=C3
140,3279941,CHEMBL1555532,C1=CC=C(C=C1)CS(=O)(=O)C2=CC(=CC(=C2C#N)[N+](=O)[O-])[N+](=O)[O-]
141,16446684,CHEMBL1504077,C1=CC=C(C=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=CC=C(C=C3)F)Cl
142,16240138,"CHEMBL1995152, CHEMBL2010551",C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=NN=C(N)N.[N+](=O)(O)[O-]
143,2767048,CHEMBL1333510,C1=CC=C(C=C1)NC(=O)C2=C(SN=N2)S(=O)(=O)C3=CC=C(C=C3)Cl
144,657546,CHEMBL1318943,C1CCC2(CC1)N=C3C=C(C=CC3=[N+]2[O-])NC4=CC=CC=C4
145,2311082,CHEMBL1410147,C1=CC=C(C=C1)P(=O)(C2=NC3=CC=CC=C3S2)NC4=NC=CS4
146,5986909,CHEMBL1381768,C1=CC=C(C=C1)S(=O)(=O)C(=CC2=CC=C(C=C2)C(F)(F)F)C3=NC4=CC=CC=C4N3
147,1393528,CHEMBL1323536,C1=CC=C(C=C1)S(=O)(=O)C(=CC2=CC=C(O2)C3=CC=C(C=C3)Br)C(=O)NCC4=CN=CC=C4
148,6362905,CHEMBL1988416,C1=CC=C(C=C1)S(=O)(=O)N=C2N(C(=C(S2)C=O)Cl)CCCCl
149,5389617,CHEMBL1465527,C1=CC=C(C=C1)S(=O)(=O)CC(=CCO)S(=O)(=O)C2=CC=CC=C2
150,1473969,CHEMBL1440300,C1=CC=C(C=C1)S(=O)C(=C(C(=O)NC2=CC=CC=C2Cl)Cl)Cl
151,2911166,CHEMBL1470485,C1=CC=C(C=C1)C2=CC=CC=C2N3C(=O)C4C5C=CC(C4C3=O)(O5)CO
152,712700,CHEMBL1335945,C1CC2=C(C3=C1N(N=C3)C4=CC=CC=C4)N=C(S2)N
153,5354979,CHEMBL3392069,C1CC(=C2C(=C1N)C(=O)C3=CC=CC=C3C2=O)N
154,16330874,CHEMBL1460470,C1CSC2=CC=CC=C2C1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
155,3032310,CHEMBL1345979,C1C2=CC=CC=C2NC1=S
156,818737,CHEMBL1497295,C1=CC=C2C(=C1)C(=CN2)N(C3=CC=C(C=C3)Cl)C(=O)CCl
157,8259799,CHEMBL1483562,C1=CC=C2C(=C1)N=C(S2)C(=CC3=CC(=CC=C3)O)C(=O)NC4=CC=C(C=C4)Cl
158,1613877,CHEMBL1982888,C1=CC=C2C(=C1)N=C3N2C(=O)C(=CC4=CC=C(O4)C5=CC(=C(C=C5)C(=O)O)Cl)S3
159,1976940,CHEMBL1991573,C1=CC=C2C(=C1)N=C3N2C(=O)C(=CC4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)S3
160,2772102,CHEMBL1380801,C1=CC=NC(=C1)NC2=C(C3=NON=C3C(=C2)Cl)[N+](=O)[O-]
228,5281855,CHEMBL6246,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
229,5458171,"CHEMBL58, CHEMBL1417019",C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl
230,60699,"CHEMBL84, CHEMBL1607",CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O.Cl
231,6763,CHEMBL51931,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O
232,443939,"CHEMBL53463, CHEMBL216371, CHEMBL272706, CHEMBL359744, CHEMBL2145439, CHEMBL2145445, CHEMBL2145457",CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
233,5281672,CHEMBL164,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
234,5281571,CHEMBL66953,C1=CC(=O)C(=C2C(=C1)C=C(C(=C2O)O)O)O
235,5614,CHEMBL78150,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C#N
236,8323,CHEMBL88326,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)N
237,6852399,"CHEMBL106181, CHEMBL110467, CHEMBL316818, CHEMBL321412, CHEMBL323230, CHEMBL327094, CHEMBL1616, CHEMBL53, CHEMBL1256708, CHEMBL1628339, CHEMBL1628308, CHEMBL3187985",CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl
238,375895,CHEMBL131037,COC1=C2C(=C(C=C1)OC)C(=O)C(=C(C2=O)Cl)Cl
239,6099,"CHEMBL191083, CHEMBL405110, CHEMBL550495",CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-]
240,16192857,"CHEMBL193627, CHEMBL584458",CC[N+]1=C(C=CC2=CC=CC(=C21)C)C=C3N(C4=CC=CC=C4S3)C.[I-]
241,6364517,"CHEMBL193872, CHEMBL466853",CCN1C2=CC=CC=C2SC1=CC(=CC3=[N+](C4=CC=CC=C4S3)CC)C.[I-]
242,6096218,CHEMBL223453,C1=CC=C(C(=C1)C2=CC(=O)C3=C(C=CC(=C3O2)NS(=O)(=O)C4=C(C(=CC(=C4)Cl)Cl)O)O)Cl
243,6393068,CHEMBL257359,CC(C)C(C(=O)O)N1C(=O)C(=CC=CC2=CC=CO2)SC1=S
244,6375556,CHEMBL255881,CC(C(=O)O)N1C(=O)C(=CC=CC2=CC=CO2)SC1=S
245,68207,"CHEMBL344648, CHEMBL1472773",C[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-]
246,94381,CHEMBL374632,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3
247,62770,"CHEMBL178, CHEMBL1563, CHEMBL1200475",CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl
248,10168,CHEMBL418068,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O
249,6852389,"CHEMBL416288, CHEMBL1380684, CHEMBL1400569, CHEMBL1435422",CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl
250,254021,CHEMBL417727,C1=CC=C2C(=C1)C3=C(C=C(C=C3)N)C(=O)C2=O
251,262093,CHEMBL429095,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO
252,9551964,"CHEMBL467894, CHEMBL1186511, CHEMBL1518905",CCN1C2=CC=CC=C2C(C1=CC=CC3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[O-]Cl(=O)(=O)=O
253,5713121,"CHEMBL1242271, CHEMBL1242180, CHEMBL1242270, CHEMBL1242358, CHEMBL1242359, CHEMBL1242453, CHEMBL1615645",C[N+]1=C(C=CC2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-]
254,182785,CHEMBL493863,CC(C)NC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23
255,2407524,CHEMBL498373,COC1=CC(=CC(=C1O)OC)C=C2CCC(=CC3=CC(=C(C(=C3)OC)O)OC)C2=O
256,23675739,"CHEMBL1205687, CHEMBL133576",CC1=CC(=C(C(=C1)C)NC2=CC(=C(C3=C2C(=O)C4=CC=CC=C4C3=O)N)S(=O)(=O)[O-])C.[Na+]
257,1388836,CHEMBL586031,COC1=CC=CC=C1NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCCCC4
258,10864994,"CHEMBL585591, CHEMBL601543",CCN1C2=C(C=CC(=C2)C3=CC=CC=C3)OC1=CC=CC4=[N+](C5=C(O4)C=CC(=C5)C6=CC=CC=C6)CC.CCOS(=O)(=O)[O-]
259,5791769,CHEMBL592124,CCC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4
260,5433262,"CHEMBL588954, CHEMBL1968732",CC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4
261,5680788,"CHEMBL599946, CHEMBL2000517",C1=CC=C2C(=C1)C(=NS(=O)(=O)C3=CC=CS3)C=C(C2=O)NC4=CC=C(C=C4)O
262,15945619,CHEMBL600142,CC(=O)N(C1=CC=C(C=C1)Br)C2=C(C(=O)C3=CC=CC=C3C2=O)NC
263,360404,CHEMBL210208,C1=CC=C(C(=C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4O)O)O)S(=O)(=O)O
