SMILES,pIC50,date_tested
Nc1ccccc1,7.56,2022-03-18
Fc1ccccc1,7.38,2022-10-10
Clc1ccccc1,7.79,2022-02-19
Brc1ccccc1,7.26,2021-02-13
CCOC(C)=O,6.96,2021-08-04
O=C(O)c1ccccc1,7.31,2022-10-05
Nc1ccccc1,7.23,2021-08-03
CCC(=O)O,7.04,2022-01-07
CCCC(=O)O,7.15,2022-08-23
c1ccc(-c2ccccc2)cc1,8.53,2021-03-09
c1ccc2ccccc2c1,7.51,2022-01-17
CCC(C)C,8.4,2022-11-19
CCCCC,7.78,2021-04-12
CCCCCC,8.01,2021-04-19
CCN,7.09,2022-05-05
CCCN,6.68,2021-05-04
CCCCN,6.61,2021-07-16
CC(C)c1ccccc1,7.4,2021-10-05
c1ccc2ncccc2c1,7.48,2021-07-11
CCC(=O)O,7.5,2021-06-07
Oc1ccccc1,7.59,2022-08-10
COc1ccccc1,7.92,2022-05-05
CC(C)(C)O,7.16,2022-03-08
CCCCCCC,7.12,2022-01-07
CCCCCCCC,7.18,2021-04-04
CC(N)=O,6.48,2021-12-22
CCOC,7.3,2021-11-10
CCC(C)C,7.59,2022-10-20
Cc1cccnc1,7.42,2022-08-09
CC(=O)c1ccccc1,7.82,2022-09-28
CCCC(=O)O,7.65,2021-09-24
CCCCC(=O)O,5.84,2022-12-13
CCc1ccccc1,8.25,2022-05-16
Cc1ccccc1,7.78,2021-04-03
Cc1ccncc1,7.43,2021-04-25
Cc1ccoc1,8.63,2022-01-21
Cc1ccsc1,7.87,2022-06-03
Cc1ccc(O)cc1,7.31,2022-05-08
CC(C)Cc1ccccc1,8.21,2022-12-04
CCO,6.15,2022-12-28
c1ccccc1,7.39,2021-09-04
CC(=O)O,6.06,2022-12-16
CCCO,7.43,2021-03-06
CCCCO,6.62,2022-02-27
c1ccncc1,8.32,2021-05-23
c1ccoc1,8.17,2022-01-11
c1ccsc1,7.42,2021-10-25
CC(C)O,7.19,2021-01-21
CCCC,8.36,2022-07-06
Oc1ccccc1,7.52,2021-06-03
Nc1ccccc1,8.22,2021-07-05
Fc1ccccc1,8.09,2021-01-21
Clc1ccccc1,8.09,2022-09-14
Brc1ccccc1,7.15,2022-01-17
CCOC(C)=O,6.67,2022-02-28
O=C(O)c1ccccc1,5.35,2021-11-18
Nc1ccccc1,7.13,2022-01-22
CCC(=O)O,7.26,2021-07-15
CCCC(=O)O,7.76,2021-05-14
c1ccc(-c2ccccc2)cc1,7.28,2022-12-02
c1ccc2ccccc2c1,8.08,2022-02-02
CCC(C)C,8.16,2021-02-20
CCCCC,8.8,2021-06-01
CCCCCC,7.57,2021-10-19
CCN,7.81,2021-05-04
CCCN,7.79,2021-12-20
CCCCN,7.15,2022-05-02
CC(C)c1ccccc1,6.99,2022-11-11
c1ccc2ncccc2c1,8.08,2022-11-19
CCC(=O)O,5.96,2022-11-22
Oc1ccccc1,8.36,2022-08-04
COc1ccccc1,7.22,2021-03-27
CC(C)(C)O,6.75,2021-02-26
CCCCCCC,8.15,2022-12-10
CCCCCCCC,7.62,2021-06-21
CC(N)=O,7.68,2022-10-14
CCOC,8.6,2022-01-14
CCC(C)C,7.13,2022-09-15
Cc1cccnc1,6.84,2021-06-15
CC(=O)c1ccccc1,6.78,2022-01-26
CCCC(=O)O,7.11,2022-01-08
CCCCC(=O)O,6.75,2021-08-22
CCc1ccccc1,7.97,2022-10-28
Cc1ccccc1,7.36,2021-10-14
Cc1ccncc1,6.32,2021-08-19
Cc1ccoc1,7.78,2022-11-15
Cc1ccsc1,7.82,2022-02-26
Cc1ccc(O)cc1,6.78,2022-09-23
CC(C)Cc1ccccc1,6.9,2021-12-10
CCO,7.8,2022-10-12
c1ccccc1,7.76,2021-01-13
CC(=O)O,7.86,2021-09-13
CCCO,7.69,2022-04-15
CCCCO,7.48,2022-01-12
c1ccncc1,8.22,2021-10-09
c1ccoc1,7.83,2022-02-27
c1ccsc1,7.5,2022-11-13
CC(C)O,7.49,2021-06-21
CCCC,7.64,2022-06-23
Oc1ccccc1,7.94,2022-08-23
Nc1ccccc1,7.24,2021-07-03
Fc1ccccc1,6.38,2022-08-06
Clc1ccccc1,8.02,2022-04-28
Brc1ccccc1,7.57,2022-03-25
CCOC(C)=O,7.36,2022-11-08
O=C(O)c1ccccc1,7.71,2021-06-26
Nc1ccccc1,7.22,2022-04-19
CCC(=O)O,7.37,2022-01-26
CCCC(=O)O,6.68,2022-06-05
c1ccc(-c2ccccc2)cc1,8.14,2021-11-03
c1ccc2ccccc2c1,7.74,2021-06-18
CCC(C)C,8.78,2022-12-02
CCCCC,6.8,2021-08-02
CCCCCC,9.0,2021-01-05
CCN,6.85,2022-12-12
CCCN,7.53,2021-09-02
CCCCN,7.15,2022-03-03
CC(C)c1ccccc1,7.84,2022-08-11
c1ccc2ncccc2c1,7.66,2021-05-14
CCC(=O)O,7.31,2021-05-19
Oc1ccccc1,7.58,2021-10-04
COc1ccccc1,7.88,2022-08-08
CC(C)(C)O,6.43,2021-08-14
CCCCCCC,7.97,2021-07-15
CCCCCCCC,8.28,2021-09-17
CC(N)=O,6.72,2022-05-08
CCOC,7.82,2022-03-07
CCC(C)C,7.0,2022-04-15
Cc1cccnc1,7.99,2021-01-20
CC(=O)c1ccccc1,7.64,2021-06-25
CCCC(=O)O,7.88,2021-05-27
CCCCC(=O)O,7.88,2021-10-01
CCc1ccccc1,7.88,2022-06-13
Cc1ccccc1,7.54,2021-08-05
Cc1ccncc1,6.93,2021-04-12
Cc1ccoc1,8.16,2022-11-27
Cc1ccsc1,8.67,2021-04-11
Cc1ccc(O)cc1,7.31,2022-08-23
CC(C)Cc1ccccc1,7.89,2021-10-14
CCO,7.59,2022-02-25
c1ccccc1,7.76,2021-08-28
CC(=O)O,6.58,2022-04-05
CCCO,7.35,2022-05-08
CCCCO,7.88,2021-10-09
c1ccncc1,7.74,2022-03-14
c1ccoc1,6.98,2021-10-14
c1ccsc1,7.58,2022-06-23
CC(C)O,8.51,2021-09-21
CCCC,8.0,2021-10-20
Oc1ccccc1,7.58,2021-04-25
Nc1ccccc1,7.92,2022-11-06
Fc1ccccc1,6.98,2022-11-17
Clc1ccccc1,7.03,2022-11-27
Brc1ccccc1,7.01,2022-09-07
CCOC(C)=O,7.06,2022-06-21
O=C(O)c1ccccc1,6.97,2021-11-22
Nc1ccccc1,7.61,2022-12-18
CCC(=O)O,6.54,2022-09-17
CCCC(=O)O,7.35,2022-06-22
c1ccc(-c2ccccc2)cc1,9.05,2021-07-19
c1ccc2ccccc2c1,7.76,2021-08-19
CCC(C)C,7.52,2021-08-19
CCCCC,6.71,2022-01-14
CCCCCC,7.93,2022-12-17
CCN,8.06,2022-06-19
CCCN,7.01,2021-07-07
CCCCN,7.03,2021-10-10
CC(C)c1ccccc1,7.78,2021-07-23
c1ccc2ncccc2c1,7.96,2022-02-07
CCC(=O)O,7.01,2021-03-24
Oc1ccccc1,7.36,2021-11-08
COc1ccccc1,7.52,2021-03-01
CC(C)(C)O,7.22,2022-08-02
CCCCCCC,8.47,2022-04-20
CCCCCCCC,8.09,2021-06-21
CC(N)=O,5.99,2022-07-10
CCOC,6.96,2021-01-23
CCC(C)C,7.91,2022-02-01
Cc1cccnc1,7.85,2021-05-20
CC(=O)c1ccccc1,7.9,2021-07-23
CCCC(=O)O,6.83,2022-04-05
CCCCC(=O)O,7.72,2021-02-21
CCc1ccccc1,7.35,2022-03-20
Cc1ccccc1,7.76,2021-07-17
Cc1ccncc1,6.93,2022-03-17
Cc1ccoc1,7.64,2021-09-07
Cc1ccsc1,6.81,2021-06-22
Cc1ccc(O)cc1,6.72,2021-05-11
CC(C)Cc1ccccc1,7.78,2022-02-21
CCO,7.21,2022-01-05
c1ccccc1,8.33,2021-06-26
CC(=O)O,6.73,2022-05-27
CCCO,7.4,2021-06-27
CCCCO,8.09,2021-05-07
c1ccncc1,8.19,2022-01-26
c1ccoc1,8.17,2022-02-28
c1ccsc1,7.4,2022-11-01
CC(C)O,7.34,2022-05-11
CCCC,7.36,2022-11-04
Oc1ccccc1,6.86,2021-06-02
Nc1ccccc1,7.79,2021-08-22
Fc1ccccc1,7.6,2022-04-15
Clc1ccccc1,7.12,2022-03-03
Brc1ccccc1,7.69,2021-11-02
CCOC(C)=O,7.25,2021-10-02
O=C(O)c1ccccc1,7.07,2021-08-10
Nc1ccccc1,8.15,2021-07-03
CCC(=O)O,7.3,2022-03-06
CCCC(=O)O,7.35,2022-12-19
c1ccc(-c2ccccc2)cc1,8.25,2021-01-10
c1ccc2ccccc2c1,7.44,2021-07-17
CCC(C)C,7.83,2022-03-08
CCCCC,7.11,2021-05-17
CCCCCC,8.45,2022-08-25
CCN,7.68,2022-09-12
CCCN,7.4,2021-10-21
CCCCN,7.32,2022-10-07
CC(C)c1ccccc1,7.98,2022-11-23
c1ccc2ncccc2c1,7.37,2021-02-20
CCC(=O)O,6.82,2022-07-17
Oc1ccccc1,7.79,2022-08-03
COc1ccccc1,7.04,2021-05-11
CC(C)(C)O,8.65,2022-10-23
CCCCCCC,8.57,2022-01-04
CCCCCCCC,6.93,2021-06-25
CC(N)=O,6.91,2021-10-12
CCOC,8.26,2022-02-23
CCC(C)C,7.87,2021-07-13
Cc1cccnc1,7.41,2021-02-03
CC(=O)c1ccccc1,7.38,2022-08-12
CCCC(=O)O,6.81,2021-09-10
CCCCC(=O)O,6.99,2022-05-01
CCc1ccccc1,7.35,2022-01-03
Cc1ccccc1,6.74,2022-04-18
Cc1ccncc1,7.27,2022-05-25
Cc1ccoc1,7.72,2021-09-15
Cc1ccsc1,7.54,2021-09-24
Cc1ccc(O)cc1,7.04,2022-06-07
CC(C)Cc1ccccc1,8.13,2022-08-11
CCO,7.16,2022-04-22
c1ccccc1,7.68,2021-03-13
CC(=O)O,6.81,2022-03-24
CCCO,7.19,2022-05-05
CCCCO,6.66,2021-03-20
c1ccncc1,7.69,2022-01-27
c1ccoc1,8.18,2022-01-24
c1ccsc1,7.36,2021-03-06
CC(C)O,7.93,2021-09-04
CCCC,8.08,2022-05-02
Oc1ccccc1,6.22,2021-12-09
Nc1ccccc1,6.83,2021-09-02
Fc1ccccc1,7.77,2022-09-05
Clc1ccccc1,7.85,2021-11-02
Brc1ccccc1,6.7,2022-11-05
CCOC(C)=O,6.51,2022-10-18
O=C(O)c1ccccc1,6.83,2021-02-08
Nc1ccccc1,7.38,2021-03-26
CCC(=O)O,7.98,2022-11-13
CCCC(=O)O,7.5,2021-01-06
c1ccc(-c2ccccc2)cc1,8.31,2022-01-27
c1ccc2ccccc2c1,7.77,2021-09-13
CCC(C)C,8.0,2022-04-27
CCCCC,8.2,2022-12-07
CCCCCC,8.33,2022-10-11
CCN,7.1,2021-07-18
CCCN,7.39,2021-12-07
CCCCN,7.42,2022-11-17
CC(C)c1ccccc1,7.26,2022-12-24
c1ccc2ncccc2c1,7.56,2021-03-16
CCC(=O)O,7.18,2022-09-02
Oc1ccccc1,7.14,2021-12-28
COc1ccccc1,7.75,2022-04-20
CC(C)(C)O,6.93,2022-04-18
CCCCCCC,8.22,2022-01-22
CCCCCCCC,8.37,2022-08-27
CC(N)=O,6.55,2021-03-20
CCOC,8.36,2021-12-07
CCC(C)C,8.31,2021-10-23
Cc1cccnc1,7.19,2022-02-14
CC(=O)c1ccccc1,7.74,2021-09-07
CCCC(=O)O,7.06,2021-07-11
CCCCC(=O)O,7.68,2021-03-17
CCc1ccccc1,8.34,2022-12-24
Cc1ccccc1,8.0,2022-05-27
Cc1ccncc1,7.37,2022-06-19
Cc1ccoc1,7.94,2021-02-03
Cc1ccsc1,7.56,2022-01-25
Cc1ccc(O)cc1,7.61,2022-11-08
CC(C)Cc1ccccc1,8.59,2022-09-17
CCO,8.02,2023-07-03
c1ccccc1,6.41,2023-12-21
CC(=O)O,6.93,2023-07-17
CCCO,6.57,2023-12-20
CCCCO,6.6,2023-09-28
c1ccncc1,7.24,2023-06-22
c1ccoc1,7.92,2023-08-11
c1ccsc1,6.79,2023-01-08
CC(C)O,8.23,2023-02-14
CCCC,7.54,2023-06-11
Oc1ccccc1,7.74,2023-06-09
Nc1ccccc1,7.48,2023-08-11
Fc1ccccc1,7.14,2023-01-12
Clc1ccccc1,7.66,2023-09-14
Brc1ccccc1,7.57,2023-06-28
CCOC(C)=O,6.56,2023-04-01
O=C(O)c1ccccc1,6.98,2023-12-01
Nc1ccccc1,7.28,2023-02-01
CCC(=O)O,6.93,2023-01-13
CCCC(=O)O,6.75,2023-04-26
c1ccc(-c2ccccc2)cc1,7.26,2023-07-26
c1ccc2ccccc2c1,7.59,2023-10-18
CCC(C)C,7.92,2023-03-27
CCCCC,7.84,2023-06-09
CCCCCC,8.71,2023-08-08
CCN,7.33,2023-02-28
CCCN,6.89,2023-11-07
CCCCN,7.76,2023-11-20
CC(C)c1ccccc1,8.83,2023-06-26
c1ccc2ncccc2c1,8.07,2023-03-09
CCC(=O)O,6.94,2023-02-22
Oc1ccccc1,6.74,2023-12-23
COc1ccccc1,7.32,2023-03-26
CC(C)(C)O,8.36,2023-03-23
CCCCCCC,8.68,2023-07-21
CCCCCCCC,7.78,2023-07-19
CC(N)=O,6.18,2023-08-09
CCOC,8.01,2023-11-03
CCC(C)C,7.66,2023-06-15
Cc1cccnc1,7.04,2023-01-07
CC(=O)c1ccccc1,7.94,2023-10-24
CCCC(=O)O,7.03,2023-04-05
CCCCC(=O)O,6.51,2023-04-28
CCc1ccccc1,6.95,2023-08-18
Cc1ccccc1,7.79,2023-04-26
Cc1ccncc1,7.94,2023-05-02
Cc1ccoc1,8.03,2023-02-04
Cc1ccsc1,7.65,2023-06-07
Cc1ccc(O)cc1,7.69,2023-06-12
CC(C)Cc1ccccc1,6.94,2023-03-13
CCO,7.83,2023-01-03
c1ccccc1,7.59,2023-10-08
CC(=O)O,7.84,2023-10-12
CCCO,6.48,2023-02-23
CCCCO,6.93,2023-09-22
c1ccncc1,7.33,2023-12-15
c1ccoc1,8.24,2023-04-02
c1ccsc1,8.55,2023-07-06
CC(C)O,6.58,2023-12-02
CCCC,8.27,2023-03-05
Oc1ccccc1,7.35,2023-12-24
Nc1ccccc1,7.22,2023-04-13
Fc1ccccc1,7.24,2023-10-03
Clc1ccccc1,7.3,2023-06-14
Brc1ccccc1,7.28,2023-12-09
CCOC(C)=O,6.16,2023-01-05
O=C(O)c1ccccc1,7.41,2023-01-25
Nc1ccccc1,6.57,2023-06-20
CCC(=O)O,7.75,2023-05-12
CCCC(=O)O,6.28,2023-05-17
c1ccc(-c2ccccc2)cc1,7.95,2023-12-15
c1ccc2ccccc2c1,7.95,2023-06-12
CCC(C)C,7.49,2023-02-09
CCCCC,7.8,2023-05-20
CCCCCC,7.88,2023-03-06
CCN,6.91,2023-05-21
CCCN,8.04,2023-04-21
CCCCN,7.61,2023-02-24
CC(C)c1ccccc1,6.98,2023-11-18
c1ccc2ncccc2c1,7.73,2023-07-12
CCC(=O)O,6.52,2023-04-16
Oc1ccccc1,7.39,2023-02-10
COc1ccccc1,7.11,2023-05-01
CC(C)(C)O,7.53,2023-07-08
CCCCCCC,7.62,2023-06-15
CCCCCCCC,7.58,2023-02-01
CC(N)=O,6.82,2023-01-26
CCOC,8.41,2023-08-15
CCC(C)C,7.52,2023-08-25
Cc1cccnc1,7.45,2023-04-01
CC(=O)c1ccccc1,7.71,2023-05-16
CCCC(=O)O,7.16,2023-05-09
CCCCC(=O)O,7.27,2023-02-06
CCc1ccccc1,7.3,2023-09-01
Cc1ccccc1,8.18,2023-09-21
Cc1ccncc1,7.29,2023-09-11
Cc1ccoc1,7.37,2023-04-06
Cc1ccsc1,8.15,2023-03-06
Cc1ccc(O)cc1,7.76,2023-01-24
CC(C)Cc1ccccc1,7.53,2023-06-07
