SMILES,Name,Cluster
Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,MOL_067,Benzodiazepines
O=C1CN=C(c2cccc(O)c2)c2ccccc2N1,MOL_068,Benzodiazepines
CCc1ccc(C2=NCC(=O)Nc3ccccc32)cc1,MOL_069,Benzodiazepines
O=C1CN=C(c2cccc(Br)c2)c2ccccc2N1,MOL_070,Benzodiazepines
COc1cccc(C2=NCC(=O)Nc3ccccc32)c1,MOL_071,Benzodiazepines
Nc1cccc(C2=NCC(=O)Nc3ccccc32)c1,MOL_072,Benzodiazepines
N#Cc1ccc(C2=NCC(=O)Nc3ccccc32)cc1,MOL_073,Benzodiazepines
N#Cc1cccc(C2=NCC(=O)Nc3ccccc32)c1,MOL_074,Benzodiazepines
O=C1CN=C(c2cccc(CF)c2)c2ccccc2N1,MOL_075,Benzodiazepines
COCn1c(C(C)C)nc(-c2ccc(F)cc2)c(C)c1=O,MOL_076,Statins
O=C(O)CC(O)Cc1ccccc1,MOL_077,Statins
CC(O)CC(=O)O,MOL_078,Statins
O=C(O)CC(O)C=Cc1ccccc1,MOL_079,Statins
CC(=O)Oc1ccc(C)c(OC(C)=O)c1,MOL_080,Statins
O=C(O)CC(O)CC1CCCC1,MOL_081,Statins
O=C(O)CC(O)CC1CCCCC1,MOL_082,Statins
CC(C)c1ccc(CC(O)CC(=O)O)cc1,MOL_083,Statins
O=C(O)CC(O)c1ccc(F)cc1,MOL_084,Statins
CC(C)CC(O)CC(=O)O,MOL_085,Statins
O=C(O)CC(O)c1ccccc1,MOL_086,Statins
CC(C)CC(O)CC(=O)O,MOL_087,Statins
O=C(O)CC(O)CCc1ccccc1,MOL_088,Statins
O=C(O)CC(O)c1ccc(Cl)cc1,MOL_089,Statins
O=C(O)CC(O)c1cccc(F)c1,MOL_090,Statins
Cc1ccc(C(O)CC(=O)O)cc1,MOL_091,Statins
COc1ccc(C(O)CC(=O)O)cc1,MOL_092,Statins
CC(CC(=O)O)c1ccc(F)cc1,MOL_093,Statins
O=C(O)CC(O)c1ccc(Br)cc1,MOL_094,Statins
O=C(O)CC(O)c1cccc(Cl)c1,MOL_095,Statins
Cc1cccc(C(O)CC(=O)O)c1,MOL_096,Statins
O=C(O)CC(O)c1ccncc1,MOL_097,Statins
O=C(O)CC(O)c1ccco1,MOL_098,Statins
O=C(O)CC(O)c1cccs1,MOL_099,Statins
O=C(O)CC(O)CCCc1ccccc1,MOL_100,Statins
CC(C)CCC(O)CC(=O)O,MOL_101,Statins
CCCCCCC(O)CC(=O)O,MOL_102,Statins
CCCCCC(O)CC(=O)O,MOL_103,Statins
CCCCC(O)CC(=O)O,MOL_104,Statins
CCCC(O)CC(=O)O,MOL_105,Statins
CCC(O)CC(=O)O,MOL_106,Statins
CC(O)CC(=O)O,MOL_107,Statins
O=C(O)CC(O)c1cccnc1,MOL_108,Statins
COc1cccc(C(O)CC(=O)O)c1,MOL_109,Statins
Nc1ccc(C(O)CC(=O)O)cc1,MOL_110,Statins
Nc1cccc(C(O)CC(=O)O)c1,MOL_111,Statins
O=C(O)CC(O)c1cccc(Br)c1,MOL_112,Statins
O=C(O)CC(O)c1cccc(O)c1,MOL_113,Statins
O=C(O)CC(O)c1ccc(O)cc1,MOL_114,Statins
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,MOL_115,Penicillins
CC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,MOL_116,Penicillins
CC1(C)SC2C(NC(=O)c3ccccc3)C(=O)N2C1C(=O)O,MOL_117,Penicillins
CCC(=O)NC1C(C)C(=O)N2C(C(=O)O)C(C)(C)[SH]12,MOL_118,Penicillins
CC1(C)SC2C(NC(=O)Cc3ccco3)C(=O)N2C1C(=O)O,MOL_119,Penicillins
CCCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,MOL_120,Penicillins
CC1(C)SC2C(NC(=O)c3ccccn3)C(=O)N2C1C(=O)O,MOL_121,Penicillins
CC1(C)SC2C(NC(=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,MOL_122,Penicillins
CC1(C)SC2C(NC(=O)c3ccccc3Cl)C(=O)N2C1C(=O)O,MOL_123,Penicillins
CC1(C)SC2C(NC(=O)c3ccccc3F)C(=O)N2C1C(=O)O,MOL_124,Penicillins
CC1(C)SC2C(NC(=O)CCl)C(=O)N2C1C(=O)O,MOL_125,Penicillins
CC1(C)SC2C(NC(=O)CF)C(=O)N2C1C(=O)O,MOL_126,Penicillins
CC1(C)SC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O,MOL_127,Penicillins
CC1(C)SC2C(NC(=O)c3ccc(F)cc3)C(=O)N2C1C(=O)O,MOL_128,Penicillins
CC1(C)SC2C(NC(=O)c3ccc(Cl)cc3)C(=O)N2C1C(=O)O,MOL_129,Penicillins
CC1(C)SC2C(NC(=O)c3ccc(Br)cc3)C(=O)N2C1C(=O)O,MOL_130,Penicillins
Cc1cccc(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c1,MOL_131,Penicillins
CC1(C)SC2C(NC(=O)c3cccc(O)c3)C(=O)N2C1C(=O)O,MOL_132,Penicillins
CC1(C)SC2C(NC(=O)c3cccc(N)c3)C(=O)N2C1C(=O)O,MOL_133,Penicillins
CC1(C)SC2C(NC(=O)c3cccc(F)c3)C(=O)N2C1C(=O)O,MOL_134,Penicillins
CC1(C)SC2C(NC(=O)c3cccc(Cl)c3)C(=O)N2C1C(=O)O,MOL_135,Penicillins
CC1(C)SC2C(NC(=O)CCc3ccccc3)C(=O)N2C1C(=O)O,MOL_136,Penicillins
COc1ccccc1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,MOL_137,Penicillins
Cc1ccccc1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,MOL_138,Penicillins
CCCCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,MOL_139,Penicillins
CCCCCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,MOL_140,Penicillins
COc1ccc(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1,MOL_141,Penicillins
Cc1ccc(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1,MOL_142,Penicillins
CC1(C)SC2C(NC(=O)c3ccc(N)cc3)C(=O)N2C1C(=O)O,MOL_143,Penicillins
CC1(C)SC2C(NC(=O)c3ccc(C#N)cc3)C(=O)N2C1C(=O)O,MOL_144,Penicillins
CC1(C)SC2C(NC(=O)c3ccncc3)C(=O)N2C1C(=O)O,MOL_145,Penicillins
CC1(C)SC2C(NC(=O)c3cccnc3)C(=O)N2C1C(=O)O,MOL_146,Penicillins
CC1(C)SC2C(NC(=O)Cc3ccncc3)C(=O)N2C1C(=O)O,MOL_147,Penicillins
CC1(C)SC2C(NC(=O)Cc3cccnc3)C(=O)N2C1C(=O)O,MOL_148,Penicillins
CC1(C)SC2C(NC(=O)Cc3ccc(F)cc3)C(=O)N2C1C(=O)O,MOL_149,Penicillins
CC1(C)SC2C(NC(=O)Cc3ccc(Cl)cc3)C(=O)N2C1C(=O)O,MOL_150,Penicillins
CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C(=O)O,MOL_151,Penicillins
Cc1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1,MOL_152,Penicillins
CC1(C)SC2C(NC(=O)Cc3cccc(F)c3)C(=O)N2C1C(=O)O,MOL_153,Penicillins
CC1(C)SC2C(NC(=O)Cc3cccc(Cl)c3)C(=O)N2C1C(=O)O,MOL_154,Penicillins
Nc1ncnc2[nH]cnc12,MOL_155,Kinase_Inhibitors
c1ccc2[nH]c(-c3ccncc3)nc2c1,MOL_156,Kinase_Inhibitors
Nc1nc2ccccc2[nH]1,MOL_157,Kinase_Inhibitors
Oc1ccnc2ccccc12,MOL_158,Kinase_Inhibitors
Nc1ccnc2cc(Cl)ccc12,MOL_159,Kinase_Inhibitors
Nc1ccc2ncccc2c1,MOL_160,Kinase_Inhibitors
c1ccc2nccnc2c1,MOL_161,Kinase_Inhibitors
Nc1ncnc2ccccc12,MOL_162,Kinase_Inhibitors
Nc1nc(N)c2ccccc2n1,MOL_163,Kinase_Inhibitors
Oc1nc2ccccc2[nH]1,MOL_164,Kinase_Inhibitors
c1ccc2[nH]cnc2c1,MOL_165,Kinase_Inhibitors
Nc1nc(=O)c2ccccc2[nH]1,MOL_166,Kinase_Inhibitors
c1ccc2[nH]ccc2c1,MOL_167,Kinase_Inhibitors
O=c1[nH]c2ccccc2[nH]1,MOL_168,Kinase_Inhibitors
Nc1cc(N)ncn1,MOL_169,Kinase_Inhibitors
Nc1ccnc(N)n1,MOL_170,Kinase_Inhibitors
Nc1ccnc(N)n1,MOL_171,Kinase_Inhibitors
Nc1nc(O)c2ccccc2n1,MOL_172,Kinase_Inhibitors
c1ccc2c(c1)cnc1ccccc12,MOL_173,Kinase_Inhibitors
N#Cc1nc2ccccc2cc1N,MOL_174,Kinase_Inhibitors
O=c1[nH]c2nccnc2[nH]c1=O,MOL_175,Kinase_Inhibitors
Nc1ncnc2[nH]ncc12,MOL_176,Kinase_Inhibitors
Oc1cccc2nccnc12,MOL_177,Kinase_Inhibitors
Nc1ccnc2ccc(F)cc12,MOL_178,Kinase_Inhibitors
Nc1ccnc2ccc(Cl)cc12,MOL_179,Kinase_Inhibitors
Cc1ccc2nccc(N)c2c1,MOL_180,Kinase_Inhibitors
COc1ccc2nccc(N)c2c1,MOL_181,Kinase_Inhibitors
c1ccc2nc3ccccc3nc2c1,MOL_182,Kinase_Inhibitors
Oc1nc2ccccc2c2ccccc12,MOL_183,Kinase_Inhibitors
Nc1ccnc2cc(F)ccc12,MOL_184,Kinase_Inhibitors
Cc1ccc2c(N)ccnc2c1,MOL_185,Kinase_Inhibitors
COc1ccc2c(N)ccnc2c1,MOL_186,Kinase_Inhibitors
Nc1ccnc2cc(Br)ccc12,MOL_187,Kinase_Inhibitors
Nc1ccc2c(N)ccnc2c1,MOL_188,Kinase_Inhibitors
Nc1ccnc2cc(O)ccc12,MOL_189,Kinase_Inhibitors
Cc1cccc2nccc(N)c12,MOL_190,Kinase_Inhibitors
Nc1ccnc2cccc(F)c12,MOL_191,Kinase_Inhibitors
Nc1ccnc2cccc(Cl)c12,MOL_192,Kinase_Inhibitors
Nc1ccnc2cccc(O)c12,MOL_193,Kinase_Inhibitors
Nc1cccc2nccc(N)c12,MOL_194,Kinase_Inhibitors
OCCCc1ccccc1,MOL_195,Benzodiazepines
CCCCCCCCC,MOL_196,Benzodiazepines
CCCCCCCCCC,MOL_197,Benzodiazepines
CC(C)(C)C,MOL_198,Benzodiazepines
CCOC(=O)CC,MOL_199,Statins
