SMILES,Name,LogP
Fc1ccccc1,MOL_0301,1.8257
CCCO,MOL_0229,0.3887
CCc1ccccc1,MOL_0331,2.249
CCO,MOL_0132,-0.0014
CC(=O)O,MOL_0137,0.0909
CC(=O)O,MOL_0423,0.0909
Brc1ccccc1,MOL_0335,2.4491
Cc1ccoc1,MOL_0025,1.588
CC(C)O,MOL_0464,0.3871
CCCN,MOL_0281,0.3551
CCCCCCCC,MOL_0247,3.3668
Fc1ccccc1,MOL_0237,1.8257
CCCCCC,MOL_0117,2.5866
c1ccc2ccccc2c1,MOL_0042,2.8398
c1ccc(-c2ccccc2)cc1,MOL_0220,3.3536
CC(C)O,MOL_0176,0.3871
Oc1ccccc1,MOL_0320,1.3922
CCCN,MOL_0153,0.3551
CC(=O)O,MOL_0231,0.0909
c1ccncc1,MOL_0227,1.0816
CCC(=O)O,MOL_0417,0.481
CCc1ccccc1,MOL_0203,2.249
O=C(O)c1ccccc1,MOL_0126,1.3848
CC(=O)O,MOL_0329,0.0909
Cc1ccsc1,MOL_0031,2.0565
CCC(=O)O,MOL_0113,0.481
CCCCCCC,MOL_0470,2.9767
Brc1ccccc1,MOL_0271,2.4491
COc1ccccc1,MOL_0140,1.6952
Cc1ccc2[nH]ccc2c1,MOL_0057,2.4763
Oc1ccccc1,MOL_0192,1.3922
c1ccoc1,MOL_0024,1.2796
Cc1ccncc1,MOL_0017,1.39
CC(=O)O,MOL_0265,0.0909
c1ccc2ncccc2c1,MOL_0066,2.2348
CC(C)O,MOL_0208,0.3871
Nc1ccccc1,MOL_0479,1.2688
Nc1ccccc1,MOL_0094,1.2688
c1ccc2ncccc2c1,MOL_0253,2.2348
CCOC(C)=O,MOL_0266,0.5694
Cc1ccoc1,MOL_0023,1.588
O=C(O)c1ccccc1,MOL_0222,1.3848
CCCO,MOL_0261,0.3887
CCOC(C)=O,MOL_0426,0.5694
Cc1ccccc1,MOL_0005,1.995
CCCCC,MOL_0116,2.1965
Cc1ccc2ccccc2c1,MOL_0045,3.1482
c1ccncc1,MOL_0016,1.0816
Clc1ccccc1,MOL_0462,2.34
CCCO,MOL_0357,0.3887
Cc1ccccc1,MOL_0003,1.995
CCCCN,MOL_0218,0.7452
CCCCCC,MOL_0405,2.5866
c1ccc2ncccc2c1,MOL_0060,2.2348
Clc1ccccc1,MOL_0110,2.34
O=C(O)c1ccccc1,MOL_0318,1.3848
COc1ccccc1,MOL_0428,1.6952
Cc1ccoc1,MOL_0029,1.588
CCCCCC,MOL_0437,2.5866
CCCCCCCC,MOL_0471,3.3668
c1ccoc1,MOL_0026,1.2796
Cc1ccccc1,MOL_0007,1.995
CCCO,MOL_0453,0.3887
COc1ccccc1,MOL_0108,1.6952
Cc1ccsc1,MOL_0037,2.0565
c1ccc2ncccc2c1,MOL_0157,2.2348
CC(=O)O,MOL_0489,0.0909
CCCCCCC,MOL_0118,2.9767
CCCC(=O)O,MOL_0114,0.8711
Brc1ccccc1,MOL_0175,2.4491
CCCCCC,MOL_0373,2.5866
CCCCCC,MOL_0181,2.5866
CC(C)O,MOL_0144,0.3871
CCC(=O)O,MOL_0369,0.481
CCCCO,MOL_0390,0.7788
c1ccncc1,MOL_0195,1.0816
CCCCC,MOL_0404,2.1965
CCC(C)C,MOL_0275,2.0524
CCCCO,MOL_0454,0.7788
Fc1ccccc1,MOL_0141,1.8257
Fc1ccccc1,MOL_0365,1.8257
Cc1cnc2ccccc2c1,MOL_0067,2.5432
CCCC(=O)O,MOL_0210,0.8711
CCOC(C)=O,MOL_0168,0.5694
Fc1ccccc1,MOL_0493,1.8257
CCCCCCCC,MOL_0375,3.3668
CC(C)O,MOL_0400,0.3871
CC(C)O,MOL_0272,0.3871
Fc1ccccc1,MOL_0109,1.8257
CCN,MOL_0248,-0.035
CCC(=O)O,MOL_0145,0.481
Nc1ccccc1,MOL_0092,1.2688
CCN,MOL_0152,-0.035
Brc1ccccc1,MOL_0367,2.4491
CCC(C)C,MOL_0467,2.0524
Cc1ccc(O)cc1,MOL_0083,1.7006
CCCCCC,MOL_0245,2.5866
CCCO,MOL_0165,0.3887
c1ccncc1,MOL_0163,1.0816
CC(=O)O,MOL_0199,0.0909
CCO,MOL_0228,-0.0014
C1CCCCC1,MOL_0074,2.3406
O=C(O)c1ccccc1,MOL_0478,1.3848
CCCCO,MOL_0358,0.7788
CCCCN,MOL_0250,0.7452
CCCCCCCC,MOL_0119,3.3668
CCCCCCC,MOL_0310,2.9767
CCc1ccccc1,MOL_0299,2.249
Nc1ccccc1,MOL_0255,1.2688
CCCC(=O)O,MOL_0354,0.8711
Brc1ccccc1,MOL_0399,2.4491
CCC(=O)O,MOL_0225,0.481
CCC(=O)O,MOL_0353,0.481
CCOC(C)=O,MOL_0234,0.5694
O=C(O)c1ccccc1,MOL_0382,1.3848
CCCC(=O)O,MOL_0274,0.8711
c1ccsc1,MOL_0036,1.7481
CCO,MOL_0196,-0.0014
CCc1ccccc1,MOL_0139,2.249
COc1ccccc1,MOL_0364,1.6952
CCCCC,MOL_0244,2.1965
CCCCCCCC,MOL_0439,3.3668
O=C(O)c1ccccc1,MOL_0286,1.3848
Cc1ccc2[nH]ccc2c1,MOL_0059,2.4763
Brc1ccccc1,MOL_0111,2.4491
Cc1ccc(O)cc1,MOL_0089,1.7006
CCCCC,MOL_0436,2.1965
c1ccccc1,MOL_0006,1.6866
CCOC(C)=O,MOL_0360,0.5694
CCCCN,MOL_0346,0.7452
CCCC(=O)O,MOL_0338,0.8711
O=C(O)c1ccccc1,MOL_0158,1.3848
CCCCCCC,MOL_0150,2.9767
CCC(=O)O,MOL_0177,0.481
CC(=O)O,MOL_0393,0.0909
CCN,MOL_0184,-0.035
CCC(=O)O,MOL_0449,0.481
c1ccncc1,MOL_0010,1.0816
c1ccc(-c2ccccc2)cc1,MOL_0380,3.3536
CC(=O)O,MOL_0103,0.0909
Cc1ccc(O)cc1,MOL_0081,1.7006
c1ccsc1,MOL_0038,1.7481
CCCCN,MOL_0314,0.7452
CC(=O)O,MOL_0167,0.0909
CCCCCC,MOL_0469,2.5866
CCOC(C)=O,MOL_0296,0.5694
CCCCN,MOL_0474,0.7452
CCCCO,MOL_0198,0.7788
CC(=O)O,MOL_0297,0.0909
Oc1ccccc1,MOL_0416,1.3922
CCCC(=O)O,MOL_0146,0.8711
CCOC(C)=O,MOL_0392,0.5694
CCC(C)C,MOL_0147,2.0524
Nc1ccccc1,MOL_0447,1.2688
Nc1ccccc1,MOL_0287,1.2688
CCC(C)C,MOL_0123,2.0524
CC(C)O,MOL_0368,0.3871
Nc1ccccc1,MOL_0096,1.2688
Brc1ccccc1,MOL_0143,2.4491
Brc1ccccc1,MOL_0239,2.4491
CCCCN,MOL_0442,0.7452
Cc1ccc(N)cc1,MOL_0097,1.5772
CCCCCCCC,MOL_0407,3.3668
CCCCN,MOL_0122,0.7452
CCCCCCCC,MOL_0183,3.3668
CCOC(C)=O,MOL_0202,0.5694
CCCCCCC,MOL_0246,2.9767
CCC(=O)O,MOL_0305,0.481
CCOC(C)=O,MOL_0298,0.5694
Nc1ccccc1,MOL_0351,1.2688
CCCC(=O)O,MOL_0386,0.8711
CCc1ccccc1,MOL_0395,2.249
c1ccc(-c2ccccc2)cc1,MOL_0284,3.3536
c1ccc2ncccc2c1,MOL_0125,2.2348
Clc1ccccc1,MOL_0302,2.34
Nc1ccccc1,MOL_0223,1.2688
CCCC(=O)O,MOL_0418,0.8711
CCC(C)C,MOL_0219,2.0524
CCC(=O)O,MOL_0129,0.481
CCO,MOL_0420,-0.0014
CCC(=O)O,MOL_0289,0.481
c1ccc(-c2ccccc2)cc1,MOL_0444,3.3536
CCN,MOL_0376,-0.035
c1ccncc1,MOL_0291,1.0816
c1ccncc1,MOL_0355,1.0816
CCCCO,MOL_0294,0.7788
COc1ccccc1,MOL_0396,1.6952
CCCCC,MOL_0340,2.1965
CC(C)O,MOL_0112,0.3871
CCC(C)C,MOL_0179,2.0524
CCC(C)C,MOL_0307,2.0524
CC(C)O,MOL_0432,0.3871
CC(=O)O,MOL_0487,0.0909
CCC(=O)O,MOL_0481,0.481
CCCCO,MOL_0422,0.7788
CC(=O)O,MOL_0233,0.0909
CCCCCCCC,MOL_0311,3.3668
CCO,MOL_0164,-0.0014
CCOC(C)=O,MOL_0136,0.5694
CCCO,MOL_0197,0.3887
CCCC(=O)O,MOL_0258,0.8711
CCOC(C)=O,MOL_0232,0.5694
CCC(C)C,MOL_0115,2.0524
CCN,MOL_0120,-0.035
c1ccc2ncccc2c1,MOL_0349,2.2348
Oc1ccccc1,MOL_0224,1.3922
CCCC(=O)O,MOL_0402,0.8711
Fc1ccccc1,MOL_0397,1.8257
Nc1ccccc1,MOL_0127,1.2688
c1ccc2ncccc2c1,MOL_0285,2.2348
CCC(C)C,MOL_0411,2.0524
CCc1ccccc1,MOL_0107,2.249
CCCC(=O)O,MOL_0370,0.8711
CCCO,MOL_0325,0.3887
CCCO,MOL_0133,0.3887
CCO,MOL_0452,-0.0014
c1ccc2ccccc2c1,MOL_0044,2.8398
COc1ccccc1,MOL_0460,1.6952
Cc1cnc2ccccc2c1,MOL_0065,2.5432
CCC(C)C,MOL_0283,2.0524
Cc1ccc(O)cc1,MOL_0085,1.7006
CCCC(=O)O,MOL_0242,0.8711
CCCCN,MOL_0186,0.7452
Nc1ccccc1,MOL_0383,1.2688
Nc1ccccc1,MOL_0159,1.2688
c1ccncc1,MOL_0012,1.0816
Cc1ccsc1,MOL_0035,2.0565
c1ccoc1,MOL_0028,1.2796
CCOC(C)=O,MOL_0170,0.5694
Clc1ccccc1,MOL_0142,2.34
Clc1ccccc1,MOL_0398,2.34
CCCCCCC,MOL_0342,2.9767
c1ccc2ncccc2c1,MOL_0221,2.2348
Cc1ccc(N)cc1,MOL_0095,1.5772
Cc1ccc2[nH]ccc2c1,MOL_0051,2.4763
CC(C)O,MOL_0240,0.3871
CCO,MOL_0484,-0.0014
CCCCN,MOL_0378,0.7452
CCCC(=O)O,MOL_0178,0.8711
Cc1ccc2ccccc2c1,MOL_0041,3.1482
CCCC(=O)O,MOL_0498,0.8711
CCCO,MOL_0421,0.3887
Clc1ccccc1,MOL_0206,2.34
CCCCN,MOL_0282,0.7452
O=C(O)c1ccccc1,MOL_0254,1.3848
c1ccc(-c2ccccc2)cc1,MOL_0412,3.3536
c1ccccc1,MOL_0004,1.6866
Oc1ccccc1,MOL_0256,1.3922
Oc1ccccc1,MOL_0448,1.3922
CCO,MOL_0100,-0.0014
CCCC(=O)O,MOL_0226,0.8711
Fc1ccccc1,MOL_0429,1.8257
CCCCCC,MOL_0213,2.5866
CCc1ccccc1,MOL_0171,2.249
Nc1ccccc1,MOL_0098,1.2688
CCO,MOL_0292,-0.0014
CCCCCCCC,MOL_0215,3.3668
Cc1cnc2ccccc2c1,MOL_0061,2.5432
Cc1ccc2ccccc2c1,MOL_0047,3.1482
c1ccsc1,MOL_0032,1.7481
CCc1ccccc1,MOL_0267,2.249
CC(=O)O,MOL_0327,0.0909
CCOC(C)=O,MOL_0200,0.5694
O=C(O)c1ccccc1,MOL_0446,1.3848
Cc1ccoc1,MOL_0027,1.588
CCOC(C)=O,MOL_0424,0.5694
CCCCO,MOL_0230,0.7788
CCO,MOL_0260,-0.0014
Oc1ccccc1,MOL_0288,1.3922
CCCC(=O)O,MOL_0162,0.8711
CC(=O)O,MOL_0425,0.0909
CCOC(C)=O,MOL_0138,0.5694
c1ccc2ncccc2c1,MOL_0062,2.2348
CC(=O)O,MOL_0135,0.0909
Oc1ccccc1,MOL_0128,1.3922
c1ccc(-c2ccccc2)cc1,MOL_0476,3.3536
c1ccccc1,MOL_0008,1.6866
CCCCO,MOL_0326,0.7788
Brc1ccccc1,MOL_0463,2.4491
c1ccc2ncccc2c1,MOL_0064,2.2348
COc1ccccc1,MOL_0300,1.6952
c1ccncc1,MOL_0014,1.0816
c1ccc(-c2ccccc2)cc1,MOL_0156,3.3536
c1ccc2ccccc2c1,MOL_0040,2.8398
CCC(C)C,MOL_0379,2.0524
CCCCC,MOL_0468,2.1965
CCC(C)C,MOL_0403,2.0524
CCN,MOL_0216,-0.035
CCCCCCCC,MOL_0279,3.3668
CCCC(=O)O,MOL_0434,0.8711
Clc1ccccc1,MOL_0430,2.34
CCC(=O)O,MOL_0337,0.481
COc1ccccc1,MOL_0236,1.6952
Brc1ccccc1,MOL_0207,2.4491
CCCCC,MOL_0212,2.1965
CC(=O)O,MOL_0295,0.0909
CC(=O)O,MOL_0457,0.0909
CCC(C)C,MOL_0251,2.0524
CCOC(C)=O,MOL_0488,0.5694
CCCCO,MOL_0486,0.7788
Brc1ccccc1,MOL_0303,2.4491
O=C(O)c1ccccc1,MOL_0350,1.3848
Fc1ccccc1,MOL_0269,1.8257
CC(=O)O,MOL_0201,0.0909
CCC(=O)O,MOL_0161,0.481
Cc1ccc2ccccc2c1,MOL_0043,3.1482
CCCN,MOL_0217,0.3551
CCC(=O)O,MOL_0401,0.481
O=C(O)c1ccccc1,MOL_0190,1.3848
CCCCCC,MOL_0309,2.5866
c1ccncc1,MOL_0259,1.0816
CC(=O)O,MOL_0105,0.0909
Cc1ccc2[nH]ccc2c1,MOL_0053,2.4763
CCCO,MOL_0389,0.3887
Cc1ccccc1,MOL_0001,1.995
CCCN,MOL_0441,0.3551
CCCC(=O)O,MOL_0482,0.8711
Cc1ccc2ccccc2c1,MOL_0049,3.1482
c1ccncc1,MOL_0419,1.0816
Oc1ccccc1,MOL_0080,1.3922
Fc1ccccc1,MOL_0205,1.8257
c1ccsc1,MOL_0034,1.7481
CC(=O)O,MOL_0263,0.0909
CCc1ccccc1,MOL_0427,2.249
Clc1ccccc1,MOL_0366,2.34
Cc1ccc(N)cc1,MOL_0091,1.5772
CCC(C)C,MOL_0339,2.0524
CCCN,MOL_0473,0.3551
c1ccc2[nH]ccc2c1,MOL_0052,2.1679
CCCN,MOL_0345,0.3551
CCOC(C)=O,MOL_0264,0.5694
CCC(=O)O,MOL_0241,0.481
Cc1ccncc1,MOL_0013,1.39
CCC(C)C,MOL_0315,2.0524
Oc1ccccc1,MOL_0088,1.3922
c1ccncc1,MOL_0387,1.0816
CCC(=O)O,MOL_0273,0.481
CCCCO,MOL_0166,0.7788
CCOC(C)=O,MOL_0328,0.5694
COc1ccccc1,MOL_0492,1.6952
CCCCO,MOL_0134,0.7788
CCCC(=O)O,MOL_0306,0.8711
Oc1ccccc1,MOL_0480,1.3922
Nc1ccccc1,MOL_0319,1.2688
CCC(C)C,MOL_0243,2.0524
c1ccc2[nH]ccc2c1,MOL_0054,2.1679
CCc1ccccc1,MOL_0363,2.249
c1ccc2[nH]ccc2c1,MOL_0050,2.1679
CCOC(C)=O,MOL_0456,0.5694
Clc1ccccc1,MOL_0174,2.34
c1ccc2ncccc2c1,MOL_0445,2.2348
c1ccc2ncccc2c1,MOL_0189,2.2348
CC(C)O,MOL_0496,0.3871
CCC(C)C,MOL_0187,2.0524
CC(=O)O,MOL_0169,0.0909
c1ccc2[nH]ccc2c1,MOL_0058,2.1679
c1ccc2ccccc2c1,MOL_0048,2.8398
CCN,MOL_0344,-0.035
CCc1ccccc1,MOL_0235,2.249
c1ccc(-c2ccccc2)cc1,MOL_0252,3.3536
Cc1ccoc1,MOL_0021,1.588
CCCN,MOL_0313,0.3551
CCc1ccccc1,MOL_0459,2.249
Oc1ccccc1,MOL_0160,1.3922
CCCCC,MOL_0276,2.1965
CCC(C)C,MOL_0443,2.0524
Nc1ccccc1,MOL_0191,1.2688
CCC(=O)O,MOL_0385,0.481
CCCO,MOL_0293,0.3887
c1ccc2ncccc2c1,MOL_0413,2.2348
CCCCCCCC,MOL_0343,3.3668
CCC(=O)O,MOL_0257,0.481
CCCCC,MOL_0308,2.1965
CCCCCC,MOL_0149,2.5866
CCCC(=O)O,MOL_0130,0.8711
CCCCCCCC,MOL_0151,3.3668
CC(=O)O,MOL_0359,0.0909
Cc1ccc(N)cc1,MOL_0099,1.5772
CCCCC,MOL_0372,2.1965
Cc1ccc(O)cc1,MOL_0087,1.7006
CCOC(C)=O,MOL_0458,0.5694
CCOC(C)=O,MOL_0330,0.5694
CCCCCCC,MOL_0214,2.9767
CCCC(=O)O,MOL_0466,0.8711
CCCN,MOL_0121,0.3551
CCC(C)C,MOL_0499,2.0524
c1ccoc1,MOL_0020,1.2796
c1ccc(-c2ccccc2)cc1,MOL_0188,3.3536
CC1CCCCC1,MOL_0071,2.5866
CCOC(C)=O,MOL_0106,0.5694
Clc1ccccc1,MOL_0270,2.34
c1ccc(-c2ccccc2)cc1,MOL_0348,3.3536
CCC(C)C,MOL_0435,2.0524
CCCCO,MOL_0102,0.7788
